Date,S,I,R,D,p_SI,p_IR,p_ID
2022-01-01,260922526,4399,4114499,144096,1.0501201417925872e-06,0.03750852466469652,0.0004546487838145033
2022-01-02,260922352,4382,4114689,144097,6.668650602996251e-07,0.043359196713829304,0.00022820629849383843
2022-01-03,260922087,4530,4114801,144102,1.0156288532216133e-06,0.024724061810154525,0.0011037527593818985
2022-01-04,260921788,4658,4114969,144105,1.1459372645415109e-06,0.036066981537140406,0.0006440532417346501
2022-01-05,260921384,4878,4115149,144109,1.5483591026789894e-06,0.03690036900369004,0.0008200082000820008
2022-01-06,260920851,5195,4115358,144116,2.042765068246692e-06,0.04023099133782483,0.001347449470644851
2022-01-07,260920333,5494,4115572,144121,1.985280311596107e-06,0.0389515835456862,0.0009100837277029487
2022-01-08,260919854,5792,4115747,144127,1.835812770307621e-06,0.030214088397790054,0.0010359116022099447
2022-01-09,260919325,6108,4115958,144129,2.027446606340868e-06,0.03454485920104781,0.0003274394237066143
2022-01-10,260918871,6311,4116202,144136,1.740004462919817e-06,0.03866265251148788,0.0011091744572967834
2022-01-11,260918069,6659,4116648,144144,3.073761825211116e-06,0.06697702357711369,0.0012013815888271512
2022-01-12,260917423,6985,4116962,144150,2.4758791213417742e-06,0.04495347172512527,0.0008589835361488905
2022-01-13,260916630,7388,4117347,144155,3.0392850007299265e-06,0.052111532214401735,0.0006767731456415809
2022-01-14,260915780,7877,4117700,144163,3.2577562001041104e-06,0.04481401548813,0.001015615081883966
2022-01-15,260914726,8463,4118164,144167,4.0396340067060834e-06,0.054826893536570956,0.0004726456339359565
2022-01-16,260913871,8605,4118874,144170,3.2769434477479353e-06,0.08251016850668216,0.0003486345148169669
2022-01-17,260913099,8775,4119472,144174,2.9588395636663684e-06,0.06814814814814815,0.0004558404558404558
2022-01-18,260911737,9564,4120036,144183,5.220156117392297e-06,0.05897114178168131,0.0009410288582183187
2022-01-19,260909992,10796,4120540,144192,6.6881302115865305e-06,0.04668395702111893,0.0008336420896628381
2022-01-20,260907876,12328,4121117,144199,8.110142294056312e-06,0.0468040233614536,0.0005678131083711876
2022-01-21,260905272,14119,4121928,144201,9.98063389075557e-06,0.05744032863517246,0.0001416530915787237
